🆕专享源①,#genre#
CCTV1,http://60.184.42.82:8881/udp/233.50.202.21:5140
CCTV1,http://171.120.218.104:8082/rtp/226.0.2.16:8040
CCTV1,http://119.163.199.98:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv
CCTV1,http://123.117.222.245:4022/rtp/239.3.1.129:8008
CCTV1,http://27.11.251.100:8002/udp/225.0.4.74:7980
CCTV1,http://27.11.60.136:8003/udp/225.0.4.66:7980
CCTV1,http://1.24.190.98:10080/hls/1/index.m3u8
CCTV1,http://119.98.133.9:5555/rtp/239.254.96.96:8550
CCTV1,http://123.97.122.89:9999/udp/233.50.200.247:5140
CCTV1,http://14.145.222.210:8888/udp/239.77.0.86:5146
CCTV1,http://60.10.139.10:8801/hls/1/index.m3u8
CCTV1,http://115.239.107.34:9999/udp/233.50.202.22:5140
CCTV1,http://42.48.17.204:808/hls/1/index.m3u8
CCTV1,http://59.173.134.164:8880/rtp/239.254.96.96:8550
CCTV1,http://www.yao87.com:4022/udp/239.76.246.151:1234
CCTV1,http://27.11.54.148:8001/udp/225.0.4.74:7980
CCTV1,http://61.52.27.124:808/hls/1/index.m3u8
CCTV1,http://118.79.113.110:6001/rtp/226.0.2.16:8040
CCTV1,http://115.234.196.165:8808/udp/233.50.201.94:5140
CCTV1,http://ddns.cyruslee.top:8888/udp/239.77.1.17:5146
CCTV1,https://stream1.freetv.fun/ee6bfbbf6bd7448cd334ce598474b15c4179f9cf07a6980cd02389132eef0af0.m3u8
CCTV1,https://stream1.freetv.fun/ce5384774a118c8eccc8a7402ba31e40b0fd0e08e06a0220c0043cfca4400c14.m3u8
CCTV1,http://113.109.250.1:9999/udp/239.77.0.241:5146
CCTV1,http://221.7.122.120:8002/udp/225.0.4.74:7980
CCTV1,http://27.10.96.10:8004/udp/225.0.4.74:7980
CCTV1,http://125.89.163.44:8888/udp/239.77.0.129:5146
CCTV1,http://60.184.42.82:8881/udp/233.50.201.99:5140
CCTV1,http://223.215.11.132:2000/rtp/238.1.78.166:7200
CCTV1,http://60.184.42.82:8881/udp/233.50.200.99:5140
CCTV1,http://113.66.41.152:10000/rtp/239.77.0.119:5146
CCTV1,http://120.77.28.4:8648/mgu.php?id=cctv1
CCTV1,http://113.205.219.240:8001/udp/225.0.4.197:7980
CCTV1,p3p://108.181.20.159:33451/62c200310006b7b2a8c4dade0fd02231
CCTV1,http://115.239.107.34:9999/udp/233.50.201.54:5140
CCTV1,http://171.8.245.73:808/hls/1/index.m3u8
CCTV1,http://106.8.125.17:4022/rtp/239.254.200.45:8008
CCTV1,http://home.yulei.online:9999/rtp/226.0.2.153:9136
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://103.116.245.163/sxg/sxg.php?id=/CCTV-1H265_4000.m3u8
CCTV1,http://223.10.63.66:8082/udp/239.1.1.7:8007
CCTV1,http://115.234.196.165:8808/udp/233.50.201.54:5140
CCTV1,http://121.24.98.79:8090/hls/9/index.m3u8
CCTV1,http://60.178.151.215:4022/udp/233.50.201.96:5140
CCTV1,http://171.119.204.190:6000/rtp/226.0.2.18:8056
CCTV1,http://115.239.107.34:9999/udp/233.50.201.94:5140
CCTV1,http://183.31.11.33:8011/udp/239.77.0.129:5146
CCTV1,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://110.241.190.141:808/hls/1/index.m3u8
CCTV1,http://171.108.239.124:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://58.53.153.209:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://60.184.42.82:8881/udp/233.50.201.88:5140
CCTV1,http://27.10.96.10:8001/udp/225.0.4.74:7980
CCTV1,http://113.205.219.240:8001/udp/225.0.4.66:7980
CCTV1,http://h.ttsystems.cn:4000/udp/225.1.8.1:8008
CCTV1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://ldncctvwbndks.v.kcdnvip.com/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV1,http://www.745612.xyz:7788/rtp/235.254.198.51:1480
CCTV1,http://115.234.196.165:8808/udp/233.50.200.99:5140
CCTV1,http://218.68.52.22:8888/udp/225.1.1.120:5002
CCTV1,http://1.196.152.115:2000/rtp/239.16.10.36:2000
CCTV1,http://115.222.143.106:8808/udp/233.50.200.130:5140
CCTV1,http://221.205.60.71:8084/rtp/226.0.2.153:9136
CCTV1,http://dev.grayidea.com:4022/udp/239.3.1.129:8008
CCTV1,http://183.31.11.72:8000/udp/239.77.1.17:5146
CCTV1,http://117.32.84.215:8020/rtp/239.112.205.59:5140
CCTV1,http://61.162.52.6:8088/newlive/live/hls/1/live.m3u8
CCTV1,https://stream1.freetv.fun/df7cf71b3e02015b9029ac087b3eec56fde92fd81d162962570629faec293037.m3u8
CCTV1,http://113.117.104.198:8800/udp/239.77.0.86:5146
CCTV1,http://14.154.194.169:4022/rtp/239.77.0.30:5146
CCTV1,http://123.97.122.89:9999/udp/233.50.201.99:5140
CCTV1,http://61.175.157.108:9999/udp/233.50.201.222:5140
CCTV1,http://120.234.5.29:6000/udp/239.20.0.104:2006
CCTV1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8
CCTV1,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8
CCTV1,http://59.172.145.8:10000/udp/239.254.96.96:8550
CCTV1,http://183.31.11.33:8011/udp/239.77.1.144:5146
CCTV1,http://27.11.62.244:8009/udp/225.0.4.197:7980
CCTV1,http://113.109.250.1:9999/udp/239.77.1.17:5146
CCTV1,http://123.97.122.89:9999/udp/233.50.201.31:5140
CCTV1,http://202.103.213.182:8888/udp/239.81.0.102:4056
CCTV1,http://115.239.107.34:9999/udp/233.50.201.88:5140
CCTV1,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
CCTV1,http://101.229.227.246:7777/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.116.156.116:8084/rtp/226.0.2.18:8056
CCTV1,http://171.116.156.116:8084/rtp/226.0.2.16:8040
CCTV1,http://223.12.196.48:8082/udp/239.1.1.7:8007
CCTV1,http://59.172.145.8:10000/rtp/239.254.96.96:8550
CCTV1,http://115.222.143.106:8808/udp/233.50.200.99:5140
CCTV1,http://gzly.hkychina.com:6003/udp/239.252.219.200:5140
CCTV1,http://115.239.107.34:9999/udp/233.50.201.118:5140
CCTV1,http://60.178.151.215:4022/udp/233.50.200.99:5140
CCTV1,http://27.18.5.191:8088/udp/239.254.96.96:8550
CCTV1,http://115.234.196.165:8808/udp/233.50.200.143:5140
CCTV1,http://59.44.102.18:8888/newlive/live/hls/2/live.m3u8
CCTV1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002
CCTV1,http://119.98.70.182:4022/udp/239.254.96.96:8550
CCTV1,http://121.32.204.50:9999/udp/239.77.0.129:5146
CCTV1,http://113.25.252.226:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.114.19.80:4000/rtp/239.3.1.1:8000
CCTV1,http://27.10.229.184:8005/udp/225.0.4.74:7980
CCTV1,https://stream1.freetv.fun/8973ff67af3f7c2d22cdf2a379e20b1bc812e963bfb3fd4bccf5a85c4953d022.m3u8
CCTV1,http://183.184.11.221:8082/rtp/226.0.2.16:8040
CCTV1,http://115.239.107.34:9999/udp/233.50.200.130:5140
CCTV1,http://171.116.190.8:8084/rtp/226.0.2.16:8040
CCTV1,http://36.248.137.69:60033/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.205.219.240:8001/udp/225.0.4.74:7980
CCTV1,http://125.93.74.27:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://119.98.133.130:4000/udp/239.254.96.96:8550
CCTV1,http://115.222.143.106:8808/udp/233.50.201.118:5140
CCTV1,http://221.0.78.198:1681/hls/10201/index.m3u8
CCTV1,http://171.119.204.190:6000/rtp/226.0.2.16:8040
CCTV1,http://115.222.143.106:8808/udp/233.50.200.143:5140
CCTV1,http://123.112.22.16:4022/rtp/239.3.1.129:8008
CCTV1,http://223.247.167.132:2000/rtp/238.1.78.166:7200
CCTV1,http://123.97.122.89:9999/udp/233.50.201.222:5140
CCTV1,http://115.239.107.34:9999/udp/233.50.201.92:5140
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://27.11.251.100:8001/udp/225.0.4.74:7980
CCTV1,https://stream1.freetv.fun/0905e6f82d72f6c6a745f5f5bf328779cb3348751e044b96934fff521f5d97a5.m3u8
CCTV1,http://119.98.133.130:4000/rtp/239.254.96.96:8550
CCTV1,http://host.gaoxincloud.cn:4000/udp/239.112.205.59:5140
CCTV1,http://27.10.229.184:8005/udp/225.0.4.197:7980
CCTV1,http://60.184.42.82:8881/udp/233.50.201.222:5140
CCTV1,http://110.188.32.231:1314/udp/239.93.0.184:5140
CCTV1,http://118.114.33.19:4022/udp/239.93.0.184:5140
CCTV1,http://iptvcyp.top:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.218.189.23:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,https://stream1.freetv.fun/5d284520daa692f05f56035b16d3664f0e1d00c595102fbb480bdd9365d80e12.ctv
CCTV1,http://183.185.70.167:8083/rtp/226.0.2.18:8056
CCTV1,http://61.175.157.108:9999/udp/233.50.201.118:5140
CCTV1,http://121.32.204.50:9999/udp/239.77.1.17:5146
CCTV1,http://14.145.222.210:8888/udp/239.77.0.129:5146
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV1,http://webmail.axxe.top:4022/rtp/239.3.1.129:8008
CCTV1,http://180.213.171.141:8000/rtp/239.5.1.4:5000
CCTV1,http://113.205.219.240:8002/udp/225.0.4.1:7980
CCTV1,http://115.239.107.34:9999/udp/233.50.200.99:5140
CCTV1,http://60.178.151.215:4022/udp/233.50.200.247:5140
CCTV1,http://171.39.7.117:18888/rtp/239.81.0.102:4056
CCTV1,http://113.109.250.1:9999/rtp/239.77.1.144:5146
CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226559/index.m3u8
CCTV1,http://1.196.152.115:2000/rtp/239.16.20.1:10010
CCTV1,http://113.103.253.56:2000/udp/239.77.0.129:5146
CCTV1,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://113.26.166.90:8082/udp/239.1.1.7:8007
CCTV1,http://183.185.70.167:8083/rtp/226.0.2.16:8040
CCTV1,http://27.11.255.247:8005/udp/225.0.4.74:7980
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.100.72.213:8899/udp/239.77.0.241:5146
CCTV1,http://27.11.62.244:8009/udp/225.0.4.1:7980
CCTV1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.8:5540
CCTV1,p3p://108.181.32.169:27529/64260c74000c73e9edfa2a0e354364a8
CCTV1,http://123.97.122.89:9999/udp/233.50.201.226:5140
CCTV1,http://183.31.11.72:8000/udp/239.77.0.129:5146
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV1,http://115.222.143.106:8808/udp/233.50.201.95:5140
CCTV1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.97.122.89:9999/udp/233.50.201.95:5140
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV1,http://61.175.157.108:9999/udp/233.50.201.96:5140
CCTV1,http://115.234.196.165:8808/udp/233.50.201.226:5140
CCTV1,http://14.154.194.169:4022/rtp/239.77.1.144:5146
CCTV1,https://epg.pw/stream/c1980814348616ed0068602a3398b361096544f6d026830ceb16352b979defda.m3u8
CCTV1,http://xuys.top:8888/udp/225.1.1.120:5002
CCTV1,http://111.225.113.77:808/home/storager/6bbc84c2-18fb-444e-a900-d7ed884a2731/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://60.10.135.181:555/udp/239.253.92.83:8012
CCTV1,http://host.gaoxincloud.cn:4000/udp/239.109.205.118:8880
CCTV1,http://171.217.5.108:8123/udp/239.93.0.184:5140
CCTV1,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://115.239.107.34:9999/udp/233.50.201.222:5140
CCTV1,http://113.109.250.1:9999/udp/239.77.1.144:5146
CCTV1,http://60.178.151.215:4022/udp/233.50.201.118:5140
CCTV1,http://119.98.95.1:4022/udp/239.254.96.96:8550
CCTV1,https://stream1.freetv.fun/2622897affd8a1c93ab36252984ab0e499d1e4a6fc76b87e6ef8039de3f2e642.m3u8
CCTV1,http://14.112.86.108:8008/rtp/239.77.1.144:5146
CCTV1,http://14.154.194.169:4022/udp/239.77.0.86:5146
CCTV1,http://113.100.72.213:8899/udp/239.77.0.86:5146
CCTV1,http://115.234.196.165:8808/udp/233.50.201.31:5140
CCTV1,http://60.178.151.215:4022/udp/233.50.202.21:5140
CCTV1,http://123.97.122.89:9999/udp/233.50.201.96:5140
CCTV1,http://123.114.19.80:4000/rtp/239.3.1.129:8008
CCTV1,http://27.11.62.244:8004/udp/225.0.4.74:7980
CCTV1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.20:5540
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://60.178.151.215:4022/udp/233.50.200.143:5140
CCTV1,http://60.178.151.215:4022/udp/233.50.202.22:5140
CCTV1,http://111.192.29.110:4022/udp/239.3.1.129:8008
CCTV1,http://60.178.151.215:4022/udp/233.50.201.1:5140
CCTV1,http://60.184.42.82:8881/udp/233.50.200.247:5140
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV1,http://202.103.213.182:8888/udp/239.81.0.13:4056
CCTV1,http://1.203.76.10:7788/udp/225.1.8.1:8008
CCTV1,http://home.oxtv.top:5066/udp/239.21.1.120:5002
CCTV1,http://dms.yryyj.site:8188/udp/239.76.246.151:1234
CCTV1,http://14.154.194.169:4022/udp/239.77.1.17:5146
CCTV1,http://183.94.212.30:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://119.39.97.2:9002/tsfile/live/0001_1.m3u8
CCTV1,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV1,http://115.234.196.165:8808/udp/233.50.202.21:5140
CCTV1,http://113.103.253.56:2000/udp/239.77.0.86:5146
CCTV1,http://121.32.204.50:9999/udp/239.77.0.86:5146
CCTV1,http://bl.dchwtq.asia:10000/rtp/239.254.96.96:8550
CCTV1,http://14.154.194.169:4022/rtp/239.77.0.14:5146
CCTV1,http://61.175.157.108:9999/udp/233.50.201.99:5140
CCTV1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV1,http://113.103.253.56:2000/udp/239.77.1.144:5146
CCTV1,http://60.178.151.215:4022/udp/233.50.201.95:5140
CCTV1,http://tvbox6.icu/tv/migu.php?id=cctv1
CCTV1,http://171.39.7.117:18888/rtp/239.81.0.13:4056
CCTV1,http://ly123.fun:10000/rtp/235.254.198.1:1280
CCTV1,http://125.89.163.44:8888/udp/239.77.0.241:5146
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3
CCTV1,http://123.118.13.110:4022/rtp/239.3.1.129:8008
CCTV1,http://113.109.250.1:9999/udp/239.77.0.119:5146
CCTV1,http://175.31.21.146:4480/hls/1/index.m3u8
CCTV1,http://116.179.97.93:8082/rtp/226.0.2.16:8040
CCTV1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8
CCTV1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://119.98.70.182:4022/rtp/239.254.96.96:8550
CCTV1,http://121.24.99.163:8090/hls/9/index.m3u8
CCTV1,http://14.154.194.169:4022/rtp/239.77.0.86:5146
CCTV1,https://stream1.freetv.fun/960192460e742af597efd712c6fee1c5baf1e90589d2166e6e3f0dd636132070.m3u8
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226016/index.m3u8
CCTV1,http://114.254.35.3:4022/rtp/239.3.1.129:8008
CCTV1,http://n1.dddmmh.space:8088/udp/225.0.4.74:7980
CCTV1,http://114.254.86.104:2222/rtp/239.3.1.129:8008
CCTV1,http://113.103.253.56:2000/udp/239.10.0.114:1025
CCTV1,http://27.11.54.148:8005/udp/225.0.4.74:7980
CCTV1,http://115.234.196.165:8808/udp/233.50.200.247:5140
CCTV1,http://113.117.104.198:8800/udp/239.77.1.144:5146
CCTV1,http://60.184.42.82:8881/udp/233.50.201.31:5140
CCTV1,http://114.252.227.154:8000/rtp/239.3.1.129:8008
CCTV1,http://36.35.16.98:9901/tsfile/live/0001_18.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://113.103.253.56:2000/udp/239.10.0.48:1025
CCTV1,http://1.62.167.129:8886/udp/229.58.190.151:5000
CCTV1,http://14.145.222.210:8888/rtp/239.77.0.14:5146
CCTV1,http://116.128.224.11:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://14.154.194.169:4022/udp/239.77.1.144:5146
CCTV1,http://14.154.194.169:4022/rtp/239.77.0.129:5146
CCTV1,http://14.145.222.210:8888/rtp/239.77.0.119:5146
CCTV1,p3p://108.181.32.169:51328/64260c74000c73e9edfa2a0e354364a8
CCTV1,http://113.103.253.56:2000/rtp/239.77.0.129:5146
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,http://121.24.98.136:8090/hls/9/index.m3u8
CCTV1,http://14.145.222.210:8888/udp/239.77.1.144:5146
CCTV1,http://27.9.91.46:8002/udp/225.0.4.74:7980
CCTV1,http://121.32.204.50:9999/rtp/239.77.0.86:5146
CCTV1,http://61.140.148.82:3333/rtp/239.77.0.30:5146
CCTV1,http://223.151.49.74:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.122.161.137:19999/rtp/239.3.1.129:8008
CCTV1,http://180.140.153.247:5432/udp/239.81.0.102:4056
CCTV1,http://218.80.79.205:4022/udp/239.45.3.145:5140
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://61.175.157.108:9999/udp/233.50.200.130:5140
CCTV1,http://115.234.196.165:8808/udp/233.50.201.88:5140
CCTV1,https://epg.pw/stream/039be3079ab37bd1fe868f6992922a7fecdd7fe591a7ff7629968aef0341460c.m3u8
CCTV1,http://222.182.59.238:4022/rtp/235.254.198.1:1280
CCTV1,http://27.11.255.247:8006/udp/225.0.4.74:7980
CCTV1,http://115.239.107.34:9999/udp/233.50.200.247:5140
CCTV1,http://125.82.168.238:8888/rtp/235.254.198.1:1280
CCTV1,http://123.97.122.89:9999/udp/233.50.201.88:5140
CCTV1,http://115.234.196.165:8808/rtp/233.50.201.118:5140
CCTV1,http://123.97.122.89:9999/udp/233.50.201.118:5140
CCTV1,https://stream1.freetv.fun/961876d0c8bba36f6519d7018724963b00d568ce7a9f1f1b31e2b373b4f1d2b3.m3u8
CCTV1,http://itms.xznet.org:41097/rtp/239.254.200.45:8008
CCTV1,http://223.12.196.48:8083/udp/239.1.1.7:8007
CCTV1,http://223.10.28.220:8083/udp/239.1.1.7:8007
CCTV1,http://27.11.61.36:8003/udp/225.0.4.74:7980
CCTV1,http://60.184.42.82:8881/udp/233.50.201.95:5140
CCTV1,http://xgj.83mi.cn:8865/xinganjuezhibo.php?id=cctv1
CCTV1,http://60.184.42.82:8881/udp/233.50.200.130:5140
CCTV1,http://114.254.82.163:2222/rtp/239.3.1.129:8008
CCTV1,http://61.143.227.162:10000/rtp/239.77.0.86:5146
CCTV1,http://61.175.157.108:9999/udp/233.50.200.143:5140
CCTV1,https://stream1.freetv.fun/f1fa8406434117dfaa5c0b174fa90a31da74b1ad921fc3ce3662a40cff4d9001.m3u8
CCTV1,http://60.184.42.82:8881/udp/233.50.201.118:5140
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://106.59.3.147:55555/udp/239.200.201.135:8880
CCTV1,http://www.zzlag.top:9087/tsfile/live/1010_1.m3u8?key=txiptv
CCTV1,http://171.120.218.104:8082/rtp/226.0.2.153:9136
CCTV1,http://113.205.219.240:8001/udp/225.0.4.1:7980
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8
CCTV1,http://14.112.86.108:8008/rtp/239.77.0.30:5146
CCTV1,http://123.166.61.70:8003/hls/11/index.m3u8
CCTV1,http://60.178.151.215:4022/udp/233.50.200.130:5140
CCTV1,http://14.154.194.169:4022/udp/239.77.0.241:5146
CCTV1,http://221.205.60.71:8084/rtp/226.0.2.18:8056
CCTV1,http://101.27.34.77:2888/hls/1/index.m3u8
CCTV1,http://123.97.122.89:9999/udp/233.50.200.130:5140
